Movie_id	Reviewer_id	Reviewer_rating	Review_date	Review_text
0059742	71629917	10	20180428	Rent it or buy it, a true classic that is perfect from start to finish...
0120338	2263198	10	20180703	the film was thrilling, exciting and fascinating in every sense of the word!
0125439	0024634	10	20000209	For me, it's still delightful after nine months and nine viewings.
0209144	20682472	9	20000404	A trip in to the mind
0314331	2926093	8	20031219	A fabric woven of happy and sad threads
0332136	3079414	10	20040206	A moving, well crafted romance with standout performances
0471041	4310775	7	20121218	Highly recommended for action-fans!
0482571	69508929	10	20180530	The way obsession play out to be the main theme, the way broken timelines are used for storytelling and the way the final twist is revealed - simply excellent. It gets a special 10/10 and an A+.
2209418	1393451	10	20130121	BEFORE MIDNIGHT is what indie film making (and the Sundance Film Festival) is all about--truly original, creative, unique, interesting characters and their stories, told outside the Hollywood system, by people passionate about their craft (and in this case at the top of their craft).
8623904	62228332	7	20191108	Surprisingly good was expecting a cheesy rom/com holiday film. But instead the Movie make you look up and appreciate what you have in life ??
0080761	15140057	10	20170924	Welcome to Camp Blood the classic original slasher that started it all my personal favorite
0082418	65737204	7	20160504	It's Friday 13th again, why are you all going there!!!
0083972	13977076	7	20181219	Jason gets his hockey mask
0087298	15140057	10	20180924	The best of the series excellent slasher film the best Friday the 13th movie ever
0089173	20781972	6	20090626	Ugh
0091080	0355122	6	19990826	The last of the passable Friday the 13th's
0095179	15140057	10	20170924	Carrie VS Jason, my favorite underrated flick Lar Park-Lincoln is the best of this film
0097388	15140057	6	20170924	Guilty pleasure of mine is not that bad of a slasher film that everyone says
0112384	3174947	9	20050115	A Great Movie
0496806	4249554	9	20070527	Really good
1396218	49684669	10	20141024	Good and funny movie
1620981	5180963	8	20191012	Never Judge People By the Outside... Stays True to TV show and Movies!
2245084	3179696	9	20150208	Disney old magic
4123430	4458224	6	20181114	Stunning movie, but where is the plot..?
5028340	4596901	7	20190121	A good film but cannot compare to the 1964 film
1911658	3282150	10	20150722	It's amazing
0315327	0867801	8	20031219	What if God was one of us? It would be pretty funny.
0413099	2036506	8	20090312	Don't expect Bruce Almighty all over again.
0381707	1759327	10	20071106	A definition of funny.
1355644	3604559	9	20161223	I cannot understand all those bad reviews of Passengers
4126476	biancabbswart	5	20190412	I wasn't disappointed but I wasn't satisfied either
0033467	elleglw	10	20060831	why did Citizen Kane create such an impact upon its first release?
0034583	Jaymay	10	20030823	HOW TO WATCH THIS MOVIE
0045152	Sober-Friend	9	20180122	A Classic
0052357	james.king@optusnet.com.au	10	20020710	A Standard Rave
0032138	robb_772	10	20060507	A true cinematic milestone
0081398	MovieAddict2016	10	20040405	Essential masterpiece; powerful De Niro; simply one of the best films of all time.
0054215	mark-lovellsamuels	10	20090727	The Perkins Factor
0061722	mjs3p	10	20000525	great but often misunderstood film
7880466	xchintu	10	20180418	One of the best conan movie
0112471	lady_writer	0	20000308	The beauty is the simplicity of magnificent human emotion.
0113670	pilby	0	20000709	Wonderful material for the heart ...
373889	juliebug04	8	20070711	Separate the film from the book, and you will be impressed
0383574	skyblueangel-1	8	20060710	Viva Pirates!
0458352	blackbird2379	7	20060615	Better than Expected
0795421	rayclister	7	20080710	James Bond needs singing lessons!
1591095	MovieProductions	7	20110401	Better than Paranormal Activity and Saw combined
1707386	Danusha_Goska	8	20121225	Why We Pay to Watch Others Suffer
2294629	CarrieJa	10	20131125	For the first time in forever a true Disney classic is realized
4846340	steven-leibson	9	20170107	Punches all my buttons: segregation, space, engineering, computers
0147800	Darth_Stat 	8.5	20010304	You can't fault this one, it just aint typical.
4633694	mattheewssilverhammer	9	20181221	How on God's green Earth did this work so well???
5013056	timhigham	0	20170723	Instantly forgettable, yet of such a sad historical event.
6146586	ahmetkozan	9	20190517	It's got its own action style!
0241527	ktulu34	0	20011119	Magically Delicious
